Tanggal,Tn,Tx,RR,ff_x,ddd_x,ddd_car
01-01-2019,26.4,33.4,0,5,300,C 
02-01-2019,26,34.4,0,3,310,C 
03-01-2019,25.6,31.4,15.7,3,210,C 
04-01-2019,24.8,31.7,2.9,4,30,C 
05-01-2019,25,33,1.6,4,330,C 
06-01-2019,26.5,34.4,1.7,3,330,NW
07-01-2019,27.2,33.8,0,3,350,C 
08-01-2019,25,33.8,20,4,320,C 
09-01-2019,26,34,0.6,4,360,C 
10-01-2019,27,34.5,1.5,4,30,C 
11-01-2019,26.6,34.5,8888,4,310,C 
12-01-2019,25.8,34,,3,310,C 
13-01-2019,25.5,34.2,0,3,80,C 
14-01-2019,25.5,34.4,0,5,300,C 
15-01-2019,25.2,35,4,4,10,C 
16-01-2019,25.2,31.8,42.6,3,330,C 
17-01-2019,24.6,31.5,33,3,300,C 
18-01-2019,24.7,33.2,103.5,6,20,C 
19-01-2019,25,32.6,13.7,4,300,C 
20-01-2019,25.4,33.4,65.6,6,340,C 
21-01-2019,25.6,34,21.6,2,210,C 
22-01-2019,25.5,32.4,0,5,310,W 
23-01-2019,24.8,31.7,4.6,2,230,C 
24-01-2019,24.3,33.2,17.6,4,310,C 
25-01-2019,24.8,32.2,17.2,3,260,C 
26-01-2019,25.5,32.4,1.5,8,40,C 
27-01-2019,25.8,30.5,2,3,290,C 
28-01-2019,24.8,28.6,18.6,3,300,C 
29-01-2019,25,30.8,8888,3,320,C 
30-01-2019,25.8,33.2,0,2,340,C 
31-01-2019,25.9,32.5,7.8,4,280,C 
