Tanggal,Tavg,RH_avg,RR,ss,ff_avg
01-01-2019,28.9,77,0,1,1
02-01-2019,29,76,0,2.8,0
03-01-2019,27.3,83,15.7,7.2,0
04-01-2019,27.7,83,2.9,0,1
05-01-2019,29.1,78,1.6,1.5,1
06-01-2019,30.4,74,1.7,4,1
07-01-2019,29.2,80,0,7.9,1
08-01-2019,29.4,77,20,5,1
09-01-2019,29.7,77,0.6,5.3,1
10-01-2019,29.8,75,1.5,,2
11-01-2019,29.7,74,8888,7.4,1
12-01-2019,28.9,78,,7.2,1
13-01-2019,29,76,0,2,1
14-01-2019,29.8,76,0,6.5,2
15-01-2019,28.3,81,4,8.2,1
16-01-2019,27.7,86,42.6,8.6,1
17-01-2019,27.1,89,33,0,1
18-01-2019,27.9,84,103.5,2.8,2
19-01-2019,27.5,87,13.7,9,0
20-01-2019,28.5,83,65.6,3.7,1
21-01-2019,28.7,82,21.6,7.5,0
22-01-2019,27.9,83,0,6.5,2
23-01-2019,27.5,83,4.6,0.1,0
24-01-2019,27.8,84,17.6,1.3,1
25-01-2019,27.7,85,17.2,4.2,1
26-01-2019,27.7,84,1.5,3.8,1
27-01-2019,27.2,86,2,4.8,0
28-01-2019,26.4,90,18.6,1.2,0
29-01-2019,27.4,85,8888,0,1
30-01-2019,28.4,84,0,0.5,0
31-01-2019,27.2,84,7.8,7.4,1
